Bot,Number of followers,,Bot type
APoD,59367,,image archive
selfcare,16940,,self-care
RikerGoogling,12187,,text
PleaseCaption,9063,,alt text reminder
gretathunberg,8504,,twitter-to-mastodon
picardtips,7342,,text
catsnkittens,6276,,image archive
randomColorContrasts,6097,,image generation
hourlyfoxbot,5785,,image archive
biodiversitypix,4625,,image archive
sadserver,3660,,text
nasa_bot,3453,,image archive
bunposting,2977,,image archive
duckduckgo,2584,,twitter-to-mastodon
oldroadside,2571,,image archive
blendernation,2465,,twitter-to-mastodon
genderoftheday,2437,,text
artbot,2434,,image archive
pomological,2267,,image archive
xkcdbot,2236,,twitter-to-mastodon
